:START_ID,:END_ID,:TYPE
1000738,1000739,next
1000739,1000740,next
1000740,1000741,next
1000741,1000742,next
1000742,1000743,next
1000743,1000744,next
1000744,1000745,next
1000745,1000746,next
1000746,1000747,next
1000747,1000748,next
1000748,1000749,next
1000749,1000750,next
1000750,1000751,next
1000751,1000752,next
1000752,1000753,next
1000753,1000754,next
1000754,1000755,next
1000755,1000756,next
1000756,1000757,next
1000758,1000759,next
1000759,1000760,next
1000760,1000761,next
1000761,1000762,next
1000762,1000763,next
1000764,1000765,next
1000766,1000767,next
1000767,1000768,next
1000768,1000769,next
1000769,1000770,next
1000770,1000771,next
1000771,1000772,next
1000772,1000773,next
1000774,1000775,next
1000775,1000776,next
1000776,1000777,next
1000777,1000778,next
1000778,1000779,next
1000779,1000780,next
1000781,1000782,next
1000782,1000783,next
1000783,1000784,next
1000784,1000785,next
1000785,1000786,next
1000786,1000787,next
1000787,1000788,next
1000788,1000789,next
1000789,1000790,next
1000790,1000791,next
1000792,1000793,next
1000794,1000795,next
1000795,1000796,next
1000797,1000798,next
1000798,1000799,next
1000799,1000800,next
1000800,1000801,next
1000801,1000802,next
1000802,1000803,next
1000803,1000804,next
1000804,1000805,next
1000805,1000806,next
1000806,1000807,next
1000807,1000808,next
1000808,1000809,next
1000809,1000810,next
1000810,1000811,next
1000811,1000812,next
1000812,1000813,next
1000813,1000814,next
1000814,1000815,next
1000815,1000816,next
1000816,1000817,next
1000817,1000818,next
1000818,1000819,next
1000819,1000820,next
1000820,1000821,next
1000821,1000822,next
1000822,1000823,next
1000823,1000824,next
1000824,1000825,next
1000825,1000826,next
1000826,1000827,next
1000827,1000828,next
1000828,1000829,next
1000829,1000830,next
1000830,1000831,next
1000831,1000832,next
1000832,1000833,next
1000833,1000834,next
1000834,1000835,next
1000835,1000836,next
1000836,1000837,next
1000837,1000838,next
1000838,1000839,next
1000839,1000840,next
1000841,1000842,next
1000842,1000843,next
1000844,1000845,next
1000846,1000847,next
1000847,1000848,next
1000848,1000849,next
1000849,1000850,next
1000850,1000851,next
1000851,1000852,next
1000852,1000853,next
1000853,1000854,next
1000854,1000855,next
1000855,1000856,next
1000856,1000857,next
1000858,1000859,next
1000859,1000860,next
1000860,1000861,next
1000861,1000862,next
1000862,1000863,next
1000863,1000864,next
1000864,1000865,next
1000865,1000866,next
1000866,1000867,next
1000867,1000868,next
1000868,1000869,next
1000869,1000870,next
1000870,1000871,next
1000871,1000872,next
1000872,1000873,next
1000873,1000874,next
1000874,1000875,next
1000875,1000876,next
1000876,1000877,next
1000877,1000878,next
1000878,1000879,next
1000879,1000880,next
1000880,1000881,next
1000881,1000882,next
1000882,1000883,next
1000883,1000884,next
1000884,1000885,next
1000885,1000886,next
1000886,1000887,next
1000887,1000888,next
1000888,1000889,next
1000889,1000890,next
1000890,1000891,next
1000892,1000893,next
1000893,1000894,next
1000894,1000895,next
1000895,1000896,next
1000896,1000897,next
1000897,1000898,next
1000898,1000899,next
1000899,1000900,next
1000900,1000901,next
1000901,1000902,next
1000902,1000903,next
1000903,1000904,next
1000904,1000905,next
1000905,1000906,next
1000906,1000907,next
1000907,1000908,next
1000908,1000909,next
1000909,1000910,next
1000910,1000911,next
1000912,1000913,next
1000913,1000914,next
1000914,1000915,next
1000915,1000916,next
1000916,1000917,next
1000917,1000918,next
1000918,1000919,next
1000919,1000920,next
1000920,1000921,next
1000921,1000922,next
1000922,1000923,next
1000923,1000924,next
1000924,1000925,next
1000925,1000926,next
1000926,1000927,next
1000927,1000928,next
1000928,1000929,next
1000929,1000930,next
1000930,1000931,next
1000931,1000932,next
1000932,1000933,next
1000933,1000934,next
1000934,1000935,next
1000935,1000936,next
1000936,1000937,next
1000937,1000938,next
1000938,1000939,next
1000939,1000940,next
1000940,1000941,next
1000941,1000942,next
1000942,1000943,next
1000943,1000944,next
1000944,1000945,next
1000945,1000946,next
1000946,1000947,next
1000947,1000948,next
1000948,1000949,next
1000949,1000950,next
1000950,1000951,next
1000952,1000953,next
1000953,1000954,next
1000954,1000955,next
1000955,1000956,next
1000956,1000957,next
1000957,1000958,next
1000958,1000959,next
1000959,1000960,next
1000960,1000961,next
1000961,1000962,next
1000963,1000964,next
1000964,1000965,next
1000965,1000966,next
1000966,1000967,next
1000968,1000969,next
1000969,1000970,next
1000971,1000972,next
1000972,1000973,next
1000973,1000974,next
1000974,1000975,next
1000975,1000976,next
1000976,1000977,next
1000978,1000979,next
1000979,1000980,next
1000980,1000981,next
1000981,1000982,next
1000982,1000983,next
1000983,1000984,next
1000984,1000985,next
1000985,1000986,next
1000986,1000987,next
1000987,1000988,next
1000988,1000989,next
1000989,1000990,next
1000990,1000991,next
1000991,1000992,next
1000992,1000993,next
1000993,1000994,next
1000994,1000995,next
1000995,1000996,next
1000996,1000997,next
1000997,1000998,next
1000998,1000999,next
1000999,1001000,next
1001000,1001001,next
1001001,1001002,next
1001002,1001003,next
1001003,1001004,next
1001004,1001005,next
1001005,1001006,next
1001006,1001007,next
1001007,1001008,next
1001008,1001009,next
1001009,1001010,next
1001010,1001011,next
1001011,1001012,next
1001012,1001013,next
1001013,1001014,next
1001014,1001015,next
1001015,1001016,next
1001017,1001018,next
1001018,1001019,next
1001019,1001020,next
1001020,1001021,next
1001021,1001022,next
1001022,1001023,next
1001024,1001025,next
1001025,1001026,next
1001026,1001027,next
1001027,1001028,next
1001028,1001029,next
1001029,1001030,next
1001031,1001032,next
1001032,1001033,next
1001033,1001034,next
1001034,1001035,next
1001036,1001037,next
1001037,1001038,next
1001038,1001039,next
1001039,1001040,next
1001040,1001041,next
1001041,1001042,next
1001042,1001043,next
1001043,1001044,next
1001044,1001045,next
1001045,1001046,next
1001046,1001047,next
1001047,1001048,next
1001048,1001049,next
1001049,1001050,next
1001050,1001051,next
1001051,1001052,next
1001052,1001053,next
1001053,1001054,next
1001054,1001055,next
1001055,1001056,next
1001056,1001057,next
1001057,1001058,next
1001058,1001059,next
1001059,1001060,next
1001060,1001061,next
1001061,1001062,next
1001062,1001063,next
1001063,1001064,next
1001064,1001065,next
1001065,1001066,next
1001066,1001067,next
1001067,1001068,next
1001068,1001069,next
1001069,1001070,next
1001070,1001071,next
1001071,1001072,next
1001072,1001073,next
1001073,1001074,next
1001074,1001075,next
1001075,1001076,next
1001076,1001077,next
1001077,1001078,next
1001078,1001079,next
1001079,1001080,next
1001080,1001081,next
1001081,1001082,next
1001082,1001083,next
1001083,1001084,next
1001085,1001086,next
1001086,1001087,next
1001087,1001088,next
1001088,1001089,next
1001089,1001090,next
1001090,1001091,next
1001091,1001092,next
1001092,1001093,next
1001093,1001094,next
1001095,1001096,next
1001096,1001097,next
1001097,1001098,next
1001098,1001099,next
1001099,1001100,next
1001100,1001101,next
1001101,1001102,next
1001102,1001103,next
1001104,1001105,next
1001105,1001106,next
1001106,1001107,next
1001108,1001109,next
1001109,1001110,next
1001110,1001111,next
1001111,1001112,next
1001112,1001113,next
1001114,1001115,next
1001115,1001116,next
1001116,1001117,next
1001117,1001118,next
1001118,1001119,next
1001119,1001120,next
1001120,1001121,next
1001122,1001123,next
1001123,1001124,next
1001124,1001125,next
1001125,1001126,next
1001126,1001127,next
1001127,1001128,next
1001128,1001129,next
1001129,1001130,next
1001130,1001131,next
1001131,1001132,next
1001132,1001133,next
1001133,1001134,next
1001134,1001135,next
1001135,1001136,next
1001136,1001137,next
1001137,1001138,next
1001138,1001139,next
1001139,1001140,next
1001140,1001141,next
1001141,1001142,next
1001143,1001144,next
1001144,1001145,next
1001145,1001146,next
1001147,1001148,next
1001148,1001149,next
1001149,1001150,next
1001150,1001151,next
1001151,1001152,next
1001152,1001153,next
1001153,1001154,next
1001154,1001155,next
1001155,1001156,next
1001156,1001157,next
1001157,1001158,next
1001159,1001160,next
1001160,1001161,next
1001161,1001162,next
1001162,1001163,next
1001163,1001164,next
1001164,1001165,next
1001165,1001166,next
1001166,1001167,next
1001167,1001168,next
1001168,1001169,next
1001169,1001170,next
1001170,1001171,next
1001171,1001172,next
1001172,1001173,next
1001173,1001174,next
1001174,1001175,next
1001175,1001176,next
1001176,1001177,next
1001177,1001178,next
1001178,1001179,next
1001179,1001180,next
1001180,1001181,next
1001181,1001182,next
1001182,1001183,next
1001183,1001184,next
1001184,1001185,next
1001185,1001186,next
1001186,1001187,next
1001187,1001188,next
1001188,1001189,next
1001189,1001190,next
1001190,1001191,next
1001192,1001193,next
1001193,1001194,next
1001194,1001195,next
1001195,1001196,next
1001197,1001198,next
1001198,1001199,next
1001199,1001200,next
1001200,1001201,next
1001201,1001202,next
1001202,1001203,next
1001203,1001204,next
1001204,1001205,next
1001205,1001206,next
1001207,1001208,next
1001208,1001209,next
1001209,1001210,next
1001210,1001211,next
1001211,1001212,next
1001212,1001213,next
1001213,1001214,next
1001215,1001216,next
1001216,1001217,next
1001217,1001218,next
1001218,1001219,next
1001219,1001220,next
1001220,1001221,next
1001221,1001222,next
1001222,1001223,next
1001223,1001224,next
1001225,1001226,next
1001226,1001227,next
1001227,1001228,next
1001228,1001229,next
1001229,1001230,next
1001231,1001232,next
1001232,1001233,next
1001233,1001234,next
1001234,1001235,next
1001235,1001236,next
1001236,1001237,next
1001237,1001238,next
1001239,1001240,next
1001240,1001241,next
1001241,1001242,next
1001242,1001243,next
1001243,1001244,next
1001244,1001245,next
1001245,1001246,next
1001246,1001247,next
1001247,1001248,next
1001248,1001249,next
1001249,1001250,next
1001250,1001251,next
1001251,1001252,next
1001252,1001253,next
1001253,1001254,next
1001254,1001255,next
1001255,1001256,next
1001256,1001257,next
1001257,1001258,next
1001258,1001259,next
1001259,1001260,next
1001260,1001261,next
1001261,1001262,next
1001262,1001263,next
1001263,1001264,next
1001264,1001265,next
1001265,1001266,next
1001266,1001267,next
1001267,1001268,next
1001268,1001269,next
1001269,1001270,next
1001270,1001271,next
1001271,1001272,next
1001272,1001273,next
1001273,1001274,next
1001274,1001275,next
1001275,1001276,next
1001276,1001277,next
1001277,1001278,next
1001278,1001279,next
1001279,1001280,next
1001280,1001281,next
1001281,1001282,next
1001282,1001283,next
1001283,1001284,next
1001284,1001285,next
1001285,1001286,next
1001286,1001287,next
1001287,1001288,next
1001288,1001289,next
1001289,1001290,next
1001290,1001291,next
1001291,1001292,next
1001292,1001293,next
1001293,1001294,next
1001294,1001295,next
1001295,1001296,next
1001296,1001297,next
1001297,1001298,next
1001298,1001299,next
1001299,1001300,next
1001300,1001301,next
1001301,1001302,next
1001302,1001303,next
1001303,1001304,next
1001304,1001305,next
1001305,1001306,next
1001306,1001307,next
1001307,1001308,next
1001308,1001309,next
1001309,1001310,next
1001310,1001311,next
1001311,1001312,next
1001312,1001313,next
1001313,1001314,next
1001314,1001315,next
1001315,1001316,next
1001316,1001317,next
1001317,1001318,next
1001318,1001319,next
1001319,1001320,next
1001320,1001321,next
1001321,1001322,next
1001322,1001323,next
1001323,1001324,next
1001324,1001325,next
1001325,1001326,next
1001326,1001327,next
1001327,1001328,next
1001328,1001329,next
1001329,1001330,next
1001330,1001331,next
1001331,1001332,next
1001332,1001333,next
1001333,1001334,next
1001334,1001335,next
1001335,1001336,next
1001336,1001337,next
1001337,1001338,next
1001338,1001339,next
1001339,1001340,next
1001340,1001341,next
1001341,1001342,next
1001342,1001343,next
1001343,1001344,next
1001344,1001345,next
1001345,1001346,next
1001346,1001347,next
1001347,1001348,next
1001348,1001349,next
1001349,1001350,next
1001350,1001351,next
1001351,1001352,next
1001352,1001353,next
1001353,1001354,next
1001354,1001355,next
1001355,1001356,next
1001356,1001357,next
1001357,1001358,next
1001358,1001359,next
1001359,1001360,next
1001360,1001361,next
1001361,1001362,next
1001362,1001363,next
1001364,1001365,next
1001365,1001366,next
1001366,1001367,next
1001367,1001368,next
1001368,1001369,next
1001369,1001370,next
1001370,1001371,next
1001371,1001372,next
1001372,1001373,next
1001373,1001374,next
1001374,1001375,next
1001375,1001376,next
1001376,1001377,next
1001377,1001378,next
1001378,1001379,next
1001379,1001380,next
1001380,1001381,next
1001381,1001382,next
1001382,1001383,next
1001383,1001384,next
1001384,1001385,next
1001385,1001386,next
1001386,1001387,next
1001387,1001388,next
1001388,1001389,next
1001389,1001390,next
1001390,1001391,next
1001391,1001392,next
1001392,1001393,next
1001393,1001394,next
1001394,1001395,next
1001395,1001396,next
1001396,1001397,next
1001397,1001398,next
1001398,1001399,next
1001399,1001400,next
1001400,1001401,next
1001401,1001402,next
1001402,1001403,next
1001403,1001404,next
1001404,1001405,next
1001405,1001406,next
1001406,1001407,next
1001407,1001408,next
1001408,1001409,next
1001409,1001410,next
1001410,1001411,next
1001411,1001412,next
1001413,1001414,next
1001414,1001415,next
1001415,1001416,next
1001416,1001417,next
1001417,1001418,next
1001418,1001419,next
1001419,1001420,next
1001420,1001421,next
1001422,1001423,next
1001423,1001424,next
1001424,1001425,next
1001425,1001426,next
1001426,1001427,next
1001427,1001428,next
1001428,1001429,next
1001429,1001430,next
1001430,1001431,next
1001431,1001432,next
1001432,1001433,next
1001434,1001435,next
1001435,1001436,next
1001436,1001437,next
1001437,1001438,next
1001438,1001439,next
1001439,1001440,next
1001440,1001441,next
1001441,1001442,next
1001442,1001443,next
1001443,1001444,next
1001444,1001445,next
1001445,1001446,next
1001446,1001447,next
1001447,1001448,next
1001448,1001449,next
1001449,1001450,next
1001450,1001451,next
1001451,1001452,next
1001452,1001453,next
1001453,1001454,next
1001454,1001455,next
1001455,1001456,next
1001456,1001457,next
1001457,1001458,next
1001458,1001459,next
1001459,1001460,next
1001460,1001461,next
1001461,1001462,next
1001462,1001463,next
1001463,1001464,next
1001464,1001465,next
1001465,1001466,next
1001466,1001467,next
1001467,1001468,next
1001468,1001469,next
1001469,1001470,next
1001471,1001472,next
1001472,1001473,next
1001473,1001474,next
1001474,1001475,next
1001475,1001476,next
1001476,1001477,next
1001477,1001478,next
1001478,1001479,next
1001479,1001480,next
1001480,1001481,next
1001481,1001482,next
1001482,1001483,next
1001483,1001484,next
1001484,1001485,next
1001485,1001486,next
1001486,1001487,next
1001487,1001488,next
1001488,1001489,next
1001489,1001490,next
