id:ID,no,name,protocol_layer,protocol_suite,abbreviation,character,work_group,:LABEL,
6500,6835,The Locator/ID Separation Protocol Internet Groper (LIG),,,LIG,company,Internet Engineering Task Force (IETF),RFC,
6501,6836,Locator/ID Separation Protocol Alternative Logical Topology (LISP+ALT),,,LISP+ALT,company,Internet Engineering Task Force (IETF),RFC,
6502,6837,NERD: A Not-so-novel Endpoint ID (EID) to Routing Locator (RLOC) Database,,,EID,company,Independent Submission,RFC,
6503,6838,Media Type Specifications and Registration Procedures,,,,company,Internet Engineering Task Force (IETF),RFC,
6504,6839,Additional Media Type Structured Syntax Suffixes,,,,company,Internet Engineering Task Force (IETF),RFC,
6505,684, Commentary on procedure calling as a network protocol ,,,,company,,RFC,
6506,6840,Clarifications and Implementation Notes for DNS Security (DNSSEC),,,DNSSEC,military,,RFC,
6507,6841,A Framework for DNSSEC Policies and DNSSEC Practice Statements,,,,company,Internet Engineering Task Force (IETF),RFC,
6508,6842,Client Identifier Option in DHCP Server Replies,,,,company,Internet Engineering Task Force (IETF),RFC,
6509,6843,RTP Control Protocol (RTCP) Extended Report (XR) Block for Delay Metric Reporting,,,RTCP,company,Internet Engineering Task Force (IETF),RFC,
6510,6844,DNS Certification Authority Authorization (CAA) Resource Record,,,CAA,company,Internet Engineering Task Force (IETF),RFC,
6511,6845,OSPF Hybrid Broadcast and Point-to-Multipoint Interface Type,,,,company,Internet Engineering Task Force (IETF),RFC,
