:START_ID,:END_ID,:TYPE
100396,590,author
100178,590,author
100396,591,author
100178,591,author
100201,592,author
100016,592,author
100396,593,author
100178,593,author
100421,594,author
100422,595,author
100423,596,author
100421,596,author
100421,597,author
100424,598,author
100425,599,author
100004,599,author
100414,599,author
100426,599,author
100427,599,author
100428,600,author
100429,601,author
100430,601,author
100431,601,author
100214,602,author
100001,603,author
100004,604,author
100421,605,author
100422,606,author
100004,607,author
100178,608,author
100174,609,author
100025,610,author
100432,610,author
100433,610,author
100116,611,author
100288,612,author
100434,613,author
100126,614,author
100206,615,author
100215,615,author
100312,616,author
100288,617,author
100435,618,author
100436,618,author
100437,619,author
100438,619,author
100439,620,author
100440,620,author
100439,621,author
100441,622,author
100442,622,author
100443,622,author
100210,623,author
100243,624,author
100444,625,author
100445,626,author
100048,626,author
100174,627,author
100446,628,author
100447,628,author
100299,629,author
100232,630,author
100448,630,author
100118,631,author
100300,631,author
100118,632,author
100300,632,author
100449,633,author
100118,633,author
100450,634,author
100178,635,author
100057,636,author
100434,637,author
100279,638,author
100451,639,author
100067,640,author
100227,640,author
100117,641,author
100452,641,author
100117,642,author
100452,642,author
100453,643,author
100454,644,author
100455,645,author
100456,646,author
100063,647,author
100457,648,author
100458,649,author
100458,650,author
100114,651,author
100114,652,author
100114,653,author
100459,654,author
100460,654,author
100209,655,author
100292,655,author
100004,656,author
100461,656,author
100266,657,author
100004,659,author
100004,660,author
100189,661,author
100188,661,author
100462,661,author
100463,661,author
100464,661,author
100465,662,author
100466,662,author
100263,663,author
100096,663,author
100214,663,author
100467,664,author
100193,664,author
100468,665,author
100048,666,author
100469,666,author
100470,666,author
100471,666,author
100288,667,author
100256,668,author
100000,669,author
100472,670,author
100004,671,author
100330,672,author
100316,673,author
100417,673,author
100357,674,author
100353,674,author
100468,675,author
100473,676,author
100474,677,author
100106,678,author
100475,679,author
100449,679,author
100476,679,author
100477,679,author
100449,680,author
100475,680,author
100393,680,author
100326,681,author
100004,682,author
100478,683,author
100243,683,author
100478,684,author
100243,684,author
100479,685,author
100132,685,author
100480,685,author
100481,685,author
100482,686,author
100410,687,author
100483,687,author
100484,688,author
100485,688,author
100486,688,author
100232,689,author
100118,689,author
100487,689,author
100288,690,author
100288,691,author
100488,692,author
100489,693,author
100004,693,author
100048,693,author
100490,694,author
100490,695,author
100227,696,author
100491,697,author
100492,698,author
100493,698,author
100494,698,author
100495,698,author
100496,698,author
100497,698,author
100498,698,author
100499,698,author
100500,699,author
100501,700,author
100502,700,author
100353,700,author
100503,700,author
100504,701,author
100198,702,author
100200,702,author
100199,702,author
100048,702,author
100057,703,author
100505,704,author
100506,705,author
100490,705,author
100507,706,author
100508,706,author
100241,707,author
100239,707,author
100509,707,author
100312,708,author
100510,709,author
100511,709,author
100263,709,author
100241,710,author
100239,710,author
100000,710,author
100330,710,author
100304,711,author
100198,711,author
100183,712,author
100512,712,author
100174,713,author
100113,714,author
100000,715,author
100513,716,author
100514,716,author
100513,717,author
100514,717,author
100227,718,author
100241,719,author
100450,720,author
100515,721,author
100516,721,author
100517,721,author
100518,722,author
100519,723,author
100520,724,author
100521,724,author
100004,725,author
100227,726,author
100349,727,author
100300,727,author
100178,727,author
100352,727,author
100353,727,author
100349,728,author
100300,728,author
100178,728,author
100352,728,author
100353,728,author
100349,729,author
100300,729,author
100301,729,author
100522,730,author
100523,730,author
100522,731,author
100524,731,author
100525,732,author
100225,733,author
100526,733,author
100527,733,author
100275,734,author
100275,735,author
100323,736,author
100057,736,author
100112,736,author
100113,736,author
100324,736,author
100325,736,author
100326,736,author
100056,736,author
100327,736,author
100275,737,author
100434,738,author
100434,739,author
100528,740,author
100336,741,author
100529,741,author
100530,741,author
100531,741,author
100520,741,author
100532,742,author
100533,742,author
100534,742,author
100532,743,author
100533,743,author
100534,743,author
100535,744,author
100536,744,author
100537,744,author
100110,745,author
100293,745,author
100048,745,author
100309,746,author
100119,747,author
100325,747,author
100390,747,author
100538,748,author
100539,749,author
100540,750,author
100541,751,author
100542,752,author
100456,753,author
100543,754,author
100544,754,author
100545,754,author
100546,755,author
100547,756,author
100548,756,author
100549,757,author
100550,757,author
100551,757,author
100552,757,author
100126,758,author
100553,759,author
100456,760,author
100554,761,author
100555,762,author
100556,762,author
100557,762,author
100558,763,author
100400,764,author
100559,765,author
100560,766,author
100288,767,author
100561,768,author
100001,769,author
100562,770,author
100563,771,author
100564,772,author
100353,772,author
100273,772,author
100004,772,author
100565,773,author
100566,773,author
100567,773,author
100468,774,author
100265,774,author
100568,775,author
100265,775,author
100569,776,author
100570,776,author
